level_0,index,0,1,2,Client_split
46,24,Me: ,Is that really necessary for a breast cancer campaign?,Homophobes,is that really necessary for a breast cancer campaign 
47,25,Client: ,Oh no.,Homophobes,oh no 
48,26,Me: ,Then –,Homophobes,then  
49,27,Client: ,But it is necessary for ,Homophobes,but it is necessary for 
50,28,Client:," I don’t like this leprechaun, he’s too scary. He should look less like a fictional character and more like the people that use our product.",Homophobes, i don t like this leprechaun  he s too scary  he should look less like a fictional character and more like the people that use our product 
51,29,Client: ,"Do fairies have acorns for hats? That seems a little far-fetched. And this one has different wings, why are they different? ",Homophobes,do fairies have acorns for hats  that seems a little far fetched  and this one has different wings  why are they different  
52,30,Client:, Here’s the concept for the new logo we need…,Homophobes, here s the concept for the new logo we need 
53,31,Me:, ,Homophobes, 
54,32,Client:," I don’t know, flowers or something…",Homophobes, i don t know  flowers or something 
55,33,Me:, Any preferences on font or color?,Homophobes, any preferences on font or color 
56,34,Client:," I don’t know. Look, if I tell you anymore than I’ve already told you, I’ll be doing all the work.",Homophobes, i don t know  look  if i tell you anymore than i ve already told you  i ll be doing all the work 
57,35,Client:," (1) I don’t know, there’s something missing.",Homophobes,     i don t know  there s something missing 
58,36,Client:," (2) Yeah, it’s too “girly”.",Homophobes,     yeah  it s too  girly  
59,37,Client:,  (1) Hey wait! Let’s add purple! Can you add purple to it?!,Homophobes,      hey wait  let s add purple  can you add purple to it  
60,38,Clients:, (2) Yes! It’s perfect! It definitely needed the purple.,Homophobes,     yes  it s perfect  it definitely needed the purple 
61,39,Me:, Should I take out one of the other colors ,Homophobes, should i take out one of the other colors 
62,40,Client:," (1) No, no. It’s great the way it is. Thanks!",Homophobes,     no  no  it s great the way it is  thanks 
63,41,Client: ,(2) Glad we caught that fruity look before it got out of hand. ,Homophobes,    glad we caught that fruity look before it got out of hand  
64,42,Client: ,(1) Totally. ,Homophobes,    totally  
65,0,Client:," So, the gays are pretty popular now, huh?",Homophobes, so  the gays are pretty popular now  huh 
66,1,Me:," Homosexuality is more widely accepted, yeah.",Homophobes, homosexuality is more widely accepted  yeah 
67,2,Client:, OK… I need you to ,Homophobes, ok  i need you to 
68,3,*Editor’s note:, I censored some of the language. My apologies for having illicit language appear in our subscribers feed.  ,Homophobes, i censored some of the language  my apologies for having illicit language appear in our subscribers feed   
0,0,Client:, We are going to focus around Programmes and Students who attend them. Use that language.,Ingrates, we are going to focus around programmes and students who attend them  use that language 
1,1,Client:," Mmm…. We don’t like the name “Programmes,” make it “Cohorts.”",Ingrates, mmm   we don t like the name  programmes   make it  cohorts  
2,2,Me:," But we already have all the models, relations, API routes, mobile app that uses these routes, tables, constants named with Programme in mind. It’s going to be a huge task to change all that now.",Ingrates, but we already have all the models  relations  api routes  mobile app that uses these routes  tables  constants named with programme in mind  it s going to be a huge task to change all that now 
3,3,Client:," Yep, still, make it Cohorts.",Ingrates, yep  still  make it cohorts 
4,4,Me:," …OK, fine.",Ingrates,  ok  fine 
5,5,Client:, We’ve decided against calling them “Cohorts.” Change everything back to “Programme.”,Ingrates, we ve decided against calling them  cohorts   change everything back to  programme  
6,6,Me:," (considering violence, whether self- or otherwise).",Ingrates,  considering violence  whether self  or otherwise  
7,7,Client: ,Why is this an earlier version? Fix it!,Ingrates,why is this an earlier version  fix it 
8,8,Client:, Hi! I'm [Name]'s assistant and I'm looking to order a commission for one of their friends as a Christmas gift. What are your turnaround times like?,Ingrates, hi  i m  name  s assistant and i m looking to order a commission for one of their friends as a christmas gift  what are your turnaround times like 
9,9,Me:," My work usually takes a few weeks to complete and I'm currently booked up for the next several months. I'm also afraid that the postage deadline for guaranteed Christmas delivery was last week. Let me know if you'd still be interested in booking, and I'm happy to answer any questions you might have!",Ingrates, my work usually takes a few weeks to complete and i m currently booked up for the next several months  i m also afraid that the postage deadline for guaranteed christmas delivery was last week  let me know if you d still be interested in booking  and i m happy to answer any questions you might have 
10,10,Client: ,You're sure you can't turn it around by Christmas for [Name]?,Ingrates,you re sure you can t turn it around by christmas for  name  
11,11,Me: ,...Quite.,Ingrates,   quite 
12,12,Client: ,We just forwarded you the new Design Process package. Design Review will now occur at 60% and will require a 90% drawing set submitted for review. You are expected to have 60% of the design completed without any major feedback from the brand and complete the same round of revisions that you would at 30%.,Ingrates,we just forwarded you the new design process package  design review will now occur at     and will require a     drawing set submitted for review  you are expected to have     of the design completed without any major feedback from the brand and complete the same round of revisions that you would at     
13,13,Client: ,We’ve decided to go in a different direction.,Ingrates,we ve decided to go in a different direction 
14,14,Client: ,I was going to shoot this on my phone but I couldn’t record my voice at the same time.,Ingrates,i was going to shoot this on my phone but i couldn t record my voice at the same time 
15,15,Me:," So, what is happening? Are problems arising during the sprint? The client is frustrated with the delays, and I need to know if you need some support or renegotiate something.",Ingrates, so  what is happening  are problems arising during the sprint  the client is frustrated with the delays  and i need to know if you need some support or renegotiate something 
16,16,Me:, How are you and your colleague dividing the time?,Ingrates, how are you and your colleague dividing the time 
17,17,Client: ,The website has become a problem. Now it’s causing problems with Google analytics and SEO for some people who are obsessed with that silly shit.,Ingrates,the website has become a problem  now it s causing problems with google analytics and seo for some people who are obsessed with that silly shit 
18,18,Client: ,Can you use that? ,Ingrates,can you use that  
19,19,Me:," Not really. And, as I stated when I agreed to this project, because of the tight deadline I don't have the time to create new concepts. Normally I would be willing, but I need you to pick from the concepts I sent you. ",Ingrates, not really  and  as i stated when i agreed to this project  because of the tight deadline i don t have the time to create new concepts  normally i would be willing  but i need you to pick from the concepts i sent you  
20,20,Client:, Can't you use what I sent you?,Ingrates, can t you use what i sent you 
21,21,Me:," OK, based on what you're saying you like I think then my second option I gave you would work best for what you want. I am concerned about being able to finish your ad on time if I don't spend all of my allotted time today on getting the actual draft done rather than finishing your layout.",Ingrates, ok  based on what you re saying you like i think then my second option i gave you would work best for what you want  i am concerned about being able to finish your ad on time if i don t spend all of my allotted time today on getting the actual draft done rather than finishing your layout 
22,22,Client:," Okay, but could you [change one aspect of that layout that would ruin the entire composition]?",Ingrates, okay  but could you  change one aspect of that layout that would ruin the entire composition  
23,23,Client:, Here's a list of 10 things that need to be done by ,Ingrates, here s a list of    things that need to be done by 
24,24,Me:, I've checked the requirements and our schedule and I'm pleased to say we can have these ready for you in time.,Ingrates, i ve checked the requirements and our schedule and i m pleased to say we can have these ready for you in time 
25,25,Client:," Sure is, let me know when these are ready for review.",Ingrates, sure is  let me know when these are ready for review 
26,26,Me:," Changes are complete, we can deploy with your approval.",Ingrates, changes are complete  we can deploy with your approval 
27,27,Me:," This is quite a substantial amount of work, even with overtime, the earliest this could be delivered is the following Wednesday.",Ingrates, this is quite a substantial amount of work  even with overtime  the earliest this could be delivered is the following wednesday 
28,28,Client:," I can't believe you would let us down like this! I don't care how you do it, these MUST be done for this Wednesday, even if you and the whole team have to work days and nights! Fix your mistake and get it done.",Ingrates, i can t believe you would let us down like this  i don t care how you do it  these must be done for this wednesday  even if you and the whole team have to work days and nights  fix your mistake and get it done 
29,29,Me:, So... do we go home?,Ingrates, so    do we go home 
30,30,Boss: ,"No, keep working. You have a phone. Use your data.",Ingrates,no  keep working  you have a phone  use your data 
31,31,Me: ,...Will you reimburse me for my data?,Ingrates,   will you reimburse me for my data 
32,32,Boss: ,Just get to work. ,Ingrates,just get to work  
33,0,Client:, We are going to focus around Programmes and Students who attend them. Use that language.,Ingrates, we are going to focus around programmes and students who attend them  use that language 
34,1,Client:," Mmm…. We don’t like the name “Programmes,” make it “Cohorts.”",Ingrates, mmm   we don t like the name  programmes   make it  cohorts  
35,2,Me:," But we already have all the models, relations, API routes, mobile app that uses these routes, tables, constants named with Programme in mind. It’s going to be a huge task to change all that now.",Ingrates, but we already have all the models  relations  api routes  mobile app that uses these routes  tables  constants named with programme in mind  it s going to be a huge task to change all that now 
36,3,Client:," Yep, still, make it Cohorts.",Ingrates, yep  still  make it cohorts 
37,4,Me:," …OK, fine.",Ingrates,  ok  fine 
38,5,Client:, We’ve decided against calling them “Cohorts.” Change everything back to “Programme.”,Ingrates, we ve decided against calling them  cohorts   change everything back to  programme  
39,6,Me:," (considering violence, whether self- or otherwise).",Ingrates,  considering violence  whether self  or otherwise  
40,7,Client: ,Why is this an earlier version? Fix it!,Ingrates,why is this an earlier version  fix it 
41,8,Client:, Hi! I'm [Name]'s assistant and I'm looking to order a commission for one of their friends as a Christmas gift. What are your turnaround times like?,Ingrates, hi  i m  name  s assistant and i m looking to order a commission for one of their friends as a christmas gift  what are your turnaround times like 
42,9,Me:," My work usually takes a few weeks to complete and I'm currently booked up for the next several months. I'm also afraid that the postage deadline for guaranteed Christmas delivery was last week. Let me know if you'd still be interested in booking, and I'm happy to answer any questions you might have!",Ingrates, my work usually takes a few weeks to complete and i m currently booked up for the next several months  i m also afraid that the postage deadline for guaranteed christmas delivery was last week  let me know if you d still be interested in booking  and i m happy to answer any questions you might have 
43,10,Client: ,You're sure you can't turn it around by Christmas for [Name]?,Ingrates,you re sure you can t turn it around by christmas for  name  
44,11,Me: ,...Quite.,Ingrates,   quite 
45,12,Client: ,We just forwarded you the new Design Process package. Design Review will now occur at 60% and will require a 90% drawing set submitted for review. You are expected to have 60% of the design completed without any major feedback from the brand and complete the same round of revisions that you would at 30%.,Ingrates,we just forwarded you the new design process package  design review will now occur at     and will require a     drawing set submitted for review  you are expected to have     of the design completed without any major feedback from the brand and complete the same round of revisions that you would at     
46,13,Client: ,We’ve decided to go in a different direction.,Ingrates,we ve decided to go in a different direction 
47,14,Client: ,I was going to shoot this on my phone but I couldn’t record my voice at the same time.,Ingrates,i was going to shoot this on my phone but i couldn t record my voice at the same time 
48,15,Me:," So, what is happening? Are problems arising during the sprint? The client is frustrated with the delays, and I need to know if you need some support or renegotiate something.",Ingrates, so  what is happening  are problems arising during the sprint  the client is frustrated with the delays  and i need to know if you need some support or renegotiate something 
49,16,Me:, How are you and your colleague dividing the time?,Ingrates, how are you and your colleague dividing the time 
50,17,Client: ,The website has become a problem. Now it’s causing problems with Google analytics and SEO for some people who are obsessed with that silly shit.,Ingrates,the website has become a problem  now it s causing problems with google analytics and seo for some people who are obsessed with that silly shit 
51,18,Client: ,Can you use that? ,Ingrates,can you use that  
52,19,Me:," Not really. And, as I stated when I agreed to this project, because of the tight deadline I don't have the time to create new concepts. Normally I would be willing, but I need you to pick from the concepts I sent you. ",Ingrates, not really  and  as i stated when i agreed to this project  because of the tight deadline i don t have the time to create new concepts  normally i would be willing  but i need you to pick from the concepts i sent you  
53,20,Client:, Can't you use what I sent you?,Ingrates, can t you use what i sent you 
54,21,Me:," OK, based on what you're saying you like I think then my second option I gave you would work best for what you want. I am concerned about being able to finish your ad on time if I don't spend all of my allotted time today on getting the actual draft done rather than finishing your layout.",Ingrates, ok  based on what you re saying you like i think then my second option i gave you would work best for what you want  i am concerned about being able to finish your ad on time if i don t spend all of my allotted time today on getting the actual draft done rather than finishing your layout 
55,22,Client:," Okay, but could you [change one aspect of that layout that would ruin the entire composition]?",Ingrates, okay  but could you  change one aspect of that layout that would ruin the entire composition  
56,23,Client:, Here's a list of 10 things that need to be done by ,Ingrates, here s a list of    things that need to be done by 
57,24,Me:, I've checked the requirements and our schedule and I'm pleased to say we can have these ready for you in time.,Ingrates, i ve checked the requirements and our schedule and i m pleased to say we can have these ready for you in time 
58,25,Client:," Sure is, let me know when these are ready for review.",Ingrates, sure is  let me know when these are ready for review 
59,26,Me:," Changes are complete, we can deploy with your approval.",Ingrates, changes are complete  we can deploy with your approval 
60,27,Me:," This is quite a substantial amount of work, even with overtime, the earliest this could be delivered is the following Wednesday.",Ingrates, this is quite a substantial amount of work  even with overtime  the earliest this could be delivered is the following wednesday 
61,28,Client:," I can't believe you would let us down like this! I don't care how you do it, these MUST be done for this Wednesday, even if you and the whole team have to work days and nights! Fix your mistake and get it done.",Ingrates, i can t believe you would let us down like this  i don t care how you do it  these must be done for this wednesday  even if you and the whole team have to work days and nights  fix your mistake and get it done 
62,29,Me:, So... do we go home?,Ingrates, so    do we go home 
63,30,Boss: ,"No, keep working. You have a phone. Use your data.",Ingrates,no  keep working  you have a phone  use your data 
64,31,Me: ,...Will you reimburse me for my data?,Ingrates,   will you reimburse me for my data 
65,32,Boss: ,Just get to work. ,Ingrates,just get to work  
66,0,Me:, Here's the second version.,Ingrates, here s the second version 
67,1,Client: ,"Not bad, but it's missing this feature.",Ingrates,not bad  but it s missing this feature 
68,2,Me: ,"That feature was on the first version, and I confirmed with you that you wanted it removed.",Ingrates,that feature was on the first version  and i confirmed with you that you wanted it removed 
69,3,Client: ,I didn't agree to that!,Ingrates,i didn t agree to that 
70,4,Me: ,...,Ingrates,   
71,5,Client:, What? Are you some kind of scammer? I will call the cops if you try to rip me off. ,Ingrates, what  are you some kind of scammer  i will call the cops if you try to rip me off  
72,6,Client:, What is the status?,Ingrates, what is the status 
73,7,Me:, I have not started yet.,Ingrates, i have not started yet 
74,8,Client:, What is the status? I like daily status updates.,Ingrates, what is the status  i like daily status updates 
75,9,Me: ,...,Ingrates,   
76,10,Me:," Okay, I'm looking over the project now. Here is a list of things I need from you.",Ingrates, okay  i m looking over the project now  here is a list of things i need from you 
77,11,Client: ,Okay.,Ingrates,okay 
78,12,Me:, Still waiting on those items. Please send them so I can get this done.,Ingrates, still waiting on those items  please send them so i can get this done 
79,13,Client: ,What is the status of the project?,Ingrates,what is the status of the project 
80,14,Me: ,I'm still waiting for those items from you. I can't get started without them.,Ingrates,i m still waiting for those items from you  i can t get started without them 
81,15,Client: ,"Right, sorry. Okay, I'll send those along. ",Ingrates,right  sorry  okay  i ll send those along  
82,16,Client:, What is the status?,Ingrates, what is the status 
83,17,Me: ,Still waiting for that stuff.,Ingrates,still waiting for that stuff 
84,18,Client:," Shoot, right. Here it is. ",Ingrates, shoot  right  here it is  
85,19,Me: ,Thanks. Just so you know I've had a lot of things come up this week so I can't get on this right now. ,Ingrates,thanks  just so you know i ve had a lot of things come up this week so i can t get on this right now  
86,20,Client:, You promised me you'd have it done in ten days. ,Ingrates, you promised me you d have it done in ten days  
87,21,Me:," How can I finish it in ten days if it takes you thirteen to send me important information? Tell you what: I can squeeze this work in tomorrow. I'll get it done then, I promise. ",Ingrates, how can i finish it in ten days if it takes you thirteen to send me important information  tell you what  i can squeeze this work in tomorrow  i ll get it done then  i promise  
88,22,Client: ,Fine.,Ingrates,fine 
89,23,Me: ,"Hey, I just looked at what you sent me and a lot of the information is wrong or out of date. Can you send me an updated version? ",Ingrates,hey  i just looked at what you sent me and a lot of the information is wrong or out of date  can you send me an updated version  
90,24,Client:, Ok. I am busy right now and will check them in the evening. I hope this won't affect our deadline today.,Ingrates, ok  i am busy right now and will check them in the evening  i hope this won t affect our deadline today 
91,25,Me:, ...,Ingrates,    
92,26,Client:, I need this in two months. Is it possible to get this edited for then?,Ingrates, i need this in two months  is it possible to get this edited for then 
93,27,Me:," Yeah no problem, that's plenty of time. I'll get started on it later this week and should only take two days to edit. I'm working on a project now but let's schedule a meeting for Tuesday to go over all the details. ",Ingrates, yeah no problem  that s plenty of time  i ll get started on it later this week and should only take two days to edit  i m working on a project now but let s schedule a meeting for tuesday to go over all the details  
94,28,Me:," Hey, are we okay to reschedule that meeting to Wednesday morning? I have an emergency on another shoot.",Ingrates, hey  are we okay to reschedule that meeting to wednesday morning  i have an emergency on another shoot 
95,29,Client:, Yes of course no problem.,Ingrates, yes of course no problem 
96,30,Client:, Okay I want my deposit back right now you haven't even downloaded the footage I sent you.,Ingrates, okay i want my deposit back right now you haven t even downloaded the footage i sent you 
97,31,Me:, I'm sorry I don't fully understand? We were having a meeting today to go over the details so I could begin the editing process?,Ingrates, i m sorry i don t fully understand  we were having a meeting today to go over the details so i could begin the editing process 
98,32,Client:," You are a waste of time, send me back the footage and give me my money back.",Ingrates, you are a waste of time  send me back the footage and give me my money back 
99,33,Client: ,Your job will be to design promotion stuff and prep clients' designs from file to production.  ,Ingrates,your job will be to design promotion stuff and prep clients  designs from file to production   
100,34,Me: ,That's a lot of stuff to do. I don't think I'll be able to handle all that.,Ingrates,that s a lot of stuff to do  i don t think i ll be able to handle all that 
101,35,Client: ,It's in your job description. ,Ingrates,it s in your job description  
102,36,Client: ,You're giving up so easily! You have no ambition to succeed. ,Ingrates,you re giving up so easily  you have no ambition to succeed  
103,37,Client: ,Just stay for another month. ,Ingrates,just stay for another month  
104,38,Me:, This video will take about 1 week to edit but it could take longer as it's quite complicated.,Ingrates, this video will take about   week to edit but it could take longer as it s quite complicated 
105,39,Client:," Okay, that's fine.",Ingrates, okay  that s fine 
106,40,Client:, How long until the video is done we're growing impatient.,Ingrates, how long until the video is done we re growing impatient 
107,41,"Me,", ,Ingrates, 
108,42,in my brain:, WHY EVEN BOTHER PRETENDING YOU UNDERSTAND THE TIME SCALE THEN GAHHHHHHHHHH,Ingrates, why even bother pretending you understand the time scale then gahhhhhhhhhh
109,43,Me:," Ok, I brought my microphone, computer, and headphones. Let's get started!",Ingrates, ok  i brought my microphone  computer  and headphones  let s get started 
110,44,Client:," Thanks, this should be easy.",Ingrates, thanks  this should be easy 
111,45,Me:, Sounds like we're almost done.,Ingrates, sounds like we re almost done 
112,46,Client:, Right...with the first page.,Ingrates, right   with the first page 
113,47,Me:," Ummmm, what?",Ingrates, ummmm  what 
114,48,Client:, Now we can really get serious!,Ingrates, now we can really get serious 
115,49,Me:, ...Right.,Ingrates,    right 
116,50,Client: ,Hope you don't mind a bit of pressure. People cry at work here a lot.,Ingrates,hope you don t mind a bit of pressure  people cry at work here a lot 
117,51,Client: ,We like your designs. We'll get back to you soon. ,Ingrates,we like your designs  we ll get back to you soon  
118,52,Me:," Hi! I would love to. However, I'm going to be out of town visiting my family. The trip has been planned for a while, but I'd be happy to do a project over the weekend or come in on Monday. ",Ingrates, hi  i would love to  however  i m going to be out of town visiting my family  the trip has been planned for a while  but i d be happy to do a project over the weekend or come in on monday  
119,53,Me:," Well, that would cost me a lot of money, but let me see what I can do.",Ingrates, well  that would cost me a lot of money  but let me see what i can do 
120,54,Client:," Hi, we've agreed that it's ok for you to do this project for us while you are out of town. You have to submit this no later than Thursday for us to make a decision by Friday: There is a huge hackathon event happening and you have to create 3 different designs for merch for Company A, B, C, and D",Ingrates, hi  we ve agreed that it s ok for you to do this project for us while you are out of town  you have to submit this no later than thursday for us to make a decision by friday  there is a huge hackathon event happening and you have to create   different designs for merch for company a  b  c  and d
121,55,Manager: ,"How's it going on the reports? You saw the examples of how I want them to look, right?",Ingrates,how s it going on the reports  you saw the examples of how i want them to look  right 
122,56,Me:," These reports are more detailed than I thought they would be, but I'm making progress.",Ingrates, these reports are more detailed than i thought they would be  but i m making progress 
123,57,Manager:, How long is it taking you to create each report?,Ingrates, how long is it taking you to create each report 
124,58,Me:, An hour and a half for each report.,Ingrates, an hour and a half for each report 
125,59,Manager:, It should only take you 30 minutes!,Ingrates, it should only take you    minutes 
126,60,Me:," How many clients do you currently have, and what are their needs?",Ingrates, how many clients do you currently have  and what are their needs 
127,61,Client:, We have about 40 clients with different requirements and goals. We don’t stick to one niche.,Ingrates, we have about    clients with different requirements and goals  we don t stick to one niche 
128,62,Me:, And I would be managing the project communications and tracking project status for all of these clients?,Ingrates, and i would be managing the project communications and tracking project status for all of these clients 
129,63,Client:, Yes,Ingrates, yes
130,64,Client:," We need someone to improve the SEO for this business. We have worked on the website, but we still have a long way to go. What would you do to improve the SEO?",Ingrates, we need someone to improve the seo for this business  we have worked on the website  but we still have a long way to go  what would you do to improve the seo 
131,65,Me:," There are lots of factors that impact SEO. I would look at adding more quality website content, working on the imagery, improving page titles and meta descriptions, and improving the overall design and UX of the sites.",Ingrates, there are lots of factors that impact seo  i would look at adding more quality website content  working on the imagery  improving page titles and meta descriptions  and improving the overall design and ux of the sites 
132,66,Client:," I see. Yeah, we need to improve all those things.",Ingrates, i see  yeah  we need to improve all those things 
133,67,Client:," Well, we’ll let you know if we want to bring you on board. IF.",Ingrates, well  we ll let you know if we want to bring you on board  if 
134,0,Me: ,"I'm open to it, but in my experience, you need to do more than just post on Instagram and Google ads. You need to update the website, work on your SEO, up your online presence and more. ",Ingrates,i m open to it  but in my experience  you need to do more than just post on instagram and google ads  you need to update the website  work on your seo  up your online presence and more  
135,1,Client:, I just need these two things. ,Ingrates, i just need these two things  
136,2,Me: ,"This is all in line with what I said before. I think to see results, you need to raise the budget for Google ads, update your business listings and work on the SEO of your website. We should probably be trying other social media platforms as well. ",Ingrates,this is all in line with what i said before  i think to see results  you need to raise the budget for google ads  update your business listings and work on the seo of your website  we should probably be trying other social media platforms as well  
137,3,Client:," This is really quite urgent, so we'd appreciate a swift response. We've had two other designers let us down recently, so we're really behind schedule.",Ingrates, this is really quite urgent  so we d appreciate a swift response  we ve had two other designers let us down recently  so we re really behind schedule 
138,4,Client:," We love your ideas! We need to discuss them internally, then we'll be in touch. Brilliant work!",Ingrates, we love your ideas  we need to discuss them internally  then we ll be in touch  brilliant work 
139,5,Me:," Just following up on the proposal as I'm aware the deadline is fast-approaching. If you could let me know, that would be great.",Ingrates, just following up on the proposal as i m aware the deadline is fast approaching  if you could let me know  that would be great 
140,6,Client:, Hi! We're still keen to have you on board! Are you available? Let me know ASAP!,Ingrates, hi  we re still keen to have you on board  are you available  let me know asap 
141,7,Me:," Yes, I have limited availability this month - please let me know what you need.",Ingrates, yes  i have limited availability this month   please let me know what you need 
142,8,Me:," This is just a test model. We’re making reliefs, right? The bugs in the relief will be attached right to the rest of the piece. I’ll make the background first as a flat layer, then add 3D bugs and plants so you can photograph it.",Ingrates, this is just a test model  we re making reliefs  right  the bugs in the relief will be attached right to the rest of the piece  i ll make the background first as a flat layer  then add  d bugs and plants so you can photograph it 
143,9,Client:," No, we’ll use this bee. Is it ready to photograph?",Ingrates, no  we ll use this bee  is it ready to photograph 
144,10,Me:," ...No. I need to make the entire clay illustration. You want these made from ceramic, right? It’ll be much faster and better quality if I work in my own studio with my own materials.",Ingrates,    no  i need to make the entire clay illustration  you want these made from ceramic  right  it ll be much faster and better quality if i work in my own studio with my own materials 
145,11,Client:, Can you just bring the clay here?,Ingrates, can you just bring the clay here 
146,12,Me:," It’s a different clay, it needs to be put through the kiln. I’m honestly not familiar with Sculpy and it’s a completely different technique.",Ingrates, it s a different clay  it needs to be put through the kiln  i m honestly not familiar with sculpy and it s a completely different technique 
147,13,Client:, It took you hours to make this bee! This is gonna take forever! You need to work in my studio since you needed so much guidance.,Ingrates, it took you hours to make this bee  this is gonna take forever  you need to work in my studio since you needed so much guidance 
148,14,Me:," You hired me because you loved my art. I work much faster with clay that needs to go into a kiln, it’s a totally different material. You’ll need to trust me and let me work if you want me to do this.",Ingrates, you hired me because you loved my art  i work much faster with clay that needs to go into a kiln  it s a totally different material  you ll need to trust me and let me work if you want me to do this 
149,15,Client:, I can’t pay you what you quoted. You just took so long. What if we just did a few bugs in clay and photoshopped the rest of the drawing? How much would you charge for one bug?,Ingrates, i can t pay you what you quoted  you just took so long  what if we just did a few bugs in clay and photoshopped the rest of the drawing  how much would you charge for one bug 
150,16,Me:, $30. ,Ingrates,      
151,17,Client:, That’s way too much! ,Ingrates, that s way too much  
152,18,Me:," If I made this just to sell as an ornament, I’d charge $40 because of how big you wanted it with all the details.",Ingrates, if i made this just to sell as an ornament  i d charge     because of how big you wanted it with all the details 
153,19,Client:," ...Well, we’re gonna have to discuss this. Come in tomorrow from 10am-4pm.",Ingrates,    well  we re gonna have to discuss this  come in tomorrow from   am  pm 
154,20,Me:, Yeah cool. ,Ingrates, yeah cool  
155,21,Client:," Hey, real quick...",Ingrates, hey  real quick   
156,22,Me:, (delete),Ingrates,  delete 
157,23,Client:," We've just secured the artist we're using for the poster art, they'll send you a copy of the artwork as soon as it's finished!",Ingrates, we ve just secured the artist we re using for the poster art  they ll send you a copy of the artwork as soon as it s finished 
158,24,Artist:," I've finished the artwork, when would you like to come to pick it up?",Ingrates, i ve finished the artwork  when would you like to come to pick it up 
159,25,Me:, Could you scan it instead?,Ingrates, could you scan it instead 
160,26,Artist:," I don't know how to scan images, is a photograph okay?",Ingrates, i don t know how to scan images  is a photograph okay 
161,27,Client:," Great, now can you set up the ticketing? Also, can you send these to a printer and have them printed onto A3 gloss paper? Also, we've made you an administrator on the play's Facebook event page, can you update it and post photographs/bios of the actors?",Ingrates, great  now can you set up the ticketing  also  can you send these to a printer and have them printed onto a  gloss paper  also  we ve made you an administrator on the play s facebook event page  can you update it and post photographs bios of the actors 
162,28,Me:," I didn't agree to do any of that. I don't even have enough information to set up the ticketing, only you can do that. I'm not organizing the printing either but I can recommend a reputable printer.",Ingrates, i didn t agree to do any of that  i don t even have enough information to set up the ticketing  only you can do that  i m not organizing the printing either but i can recommend a reputable printer 
163,29,Client:, The posters have arrived! They look great! Please come down later today and post them around town. The production is soon!,Ingrates, the posters have arrived  they look great  please come down later today and post them around town  the production is soon 
164,30,Client: ,...Where's the rest of it?,Ingrates,   where s the rest of it 
165,31,Me:, The rest of it?,Ingrates, the rest of it 
166,32,Client: ," I could have got some guy in India to build this for £5... It's taken you 5 days, that's cost me £3000!",Ingrates, i could have got some guy in india to build this for       it s taken you   days  that s cost me       
167,33,Me:," (ignoring the brazen insult) ...Not really. It's cost you a week of my wage, as this was built internally for our product line and not for a client in particular. That money can be made back in 1 order at your rates, by the way. And besides I could have turned it around quicker if I wasn't covering other projects during that time. ",Ingrates,  ignoring the brazen insult     not really  it s cost you a week of my wage  as this was built internally for our product line and not for a client in particular  that money can be made back in   order at your rates  by the way  and besides i could have turned it around quicker if i wasn t covering other projects during that time  
168,34,Director:, I don't think you're THAT busy.,Ingrates, i don t think you re that busy 
169,35,Me:, ...,Ingrates,    
170,36,Me:, This deadline is really tight. I might have to ask my developer to work on a weekend just to meet it. I don't really like asking my guys to do that. Are you sure it's necessary? ,Ingrates, this deadline is really tight  i might have to ask my developer to work on a weekend just to meet it  i don t really like asking my guys to do that  are you sure it s necessary  
171,37,Client:," Good, I'm your paying client. I expect you to work round the clock until the website is done.",Ingrates, good  i m your paying client  i expect you to work round the clock until the website is done 
172,38,Client: , We're in a huge bind! We have an event two days from now and their photographer isn't getting back to us. We think they're flaking out on us and we need someone to cover it! . ,Ingrates, we re in a huge bind  we have an event two days from now and their photographer isn t getting back to us  we think they re flaking out on us and we need someone to cover it    
173,39,Client: ,Our other photographer was charging us $340.' ,Ingrates,our other photographer was charging us        
174,40,Client: ,Do you accept credit cards as payment. ,Ingrates,do you accept credit cards as payment  
175,41,Client: ,You didn't confirm. I need you to confirm. ,Ingrates,you didn t confirm  i need you to confirm  
176,42,Client: ,Can I pay you after I receive the photos? ,Ingrates,can i pay you after i receive the photos  
177,43,Me: ,No. ,Ingrates,no  
178,44,Me:," I can get to fixing it, but I'm out on a shoot today. I'll get to it when I'm home. ",Ingrates, i can get to fixing it  but i m out on a shoot today  i ll get to it when i m home  
179,45,Client:, Thanks!,Ingrates, thanks 
180,46,Client: ,Is it done yet?,Ingrates,is it done yet 
181,47,Me: ,Still out on a shoot. ,Ingrates,still out on a shoot  
182,48,Client: ,How about now? ,Ingrates,how about now  
183,49,Me: ,"I'm a photographer, I don't work in front of a computer. I'll get to it when I can and tell you when I do, I promise.",Ingrates,i m a photographer  i don t work in front of a computer  i ll get to it when i can and tell you when i do  i promise 
184,50,Client: ,Is it done yet?,Ingrates,is it done yet 
185,51,Client: ,Are you done?,Ingrates,are you done 
186,0,Client:," Hey, you worked on [successful Kickstarter]?",Ingrates, hey  you worked on  successful kickstarter  
187,1,Me:, Yes. I was part of the management team & did a little writing too.,Ingrates, yes  i was part of the management team   did a little writing too 
188,2,Client:, Can you take over my Kickstarter? It isn’t funding.,Ingrates, can you take over my kickstarter  it isn t funding 
189,3,Me:, I’m pretty booked up right now.,Ingrates, i m pretty booked up right now 
