who,category,sentences
Client:,Ingrates, oh  that  okay  i guess 
Me:,Ingrates, what do you mean  was something wrong 
Client:,Ingrates, i don t think so 
Me:,Ingrates, uh so it looked okay 
Client:,Ingrates, i don t know  i got busy and never made it to  store  to see it 
Me:,Ingrates, i thought you shopped there all the time 
Client:,Ingrates, normally  but 
Client:,Ingrates, but for that much  i can 
Me:,Ingrates, if you think you would like to have me on retainer to do site work or support  you can purchase a maintenance package and i can take care of requests with priority  i have a lot of clients on the go that i have to respond to first
Client:,Ingrates, no  just that link thing  i understand other clients have priority  if your tied up  you can just give me a time when we can revisit this 
Client:,Ingrates, all i would like is that link 
Client:,Ingrates, and the ability to do a gallery without the pictures looking wonky when i upload 
Client:,Ingrates, and those spreadsheets i sent you inserted into the pages 
Client:,Ingrates, thanks  see the attached for the rest  
Me:,Ingrates, what we do here takes a lot of effort  you can t just ask for something and not provide any details 
Client:,Ingrates, ha  effort  you re funny 
Me:,Ingrates, well  if it didn t take effort  why couldn t you 
Client:,Ingrates, i have a life and a job  i ll go find someone that will do whatever i tell him 
Client:,Ingrates, we d like you to work overtime on this project   right now you re only here    hours a week  we d like you to work       on it 
Me:,Ingrates, well  the current contract you set up specifies budget for only    hours weekly  but i m sure we can make some arrangements  i ll have to talk to my agency about the bill rate for the overtime  though 
Client:,Ingrates, oh   don t worry  that won t be necessary  we don t want you to actually 
Me:,Ingrates, it s probably quickest if you ask the printer to change the file on press 
Client:,Ingrates, no  i want you to make the change at the agency and send it to the printer again 
Me:,Ingrates, it s father s day  and it s not like i have to call in one or two people   i d have to call in a whole team   we re not working today  and it s not like it would be cost efficient for you to do it that way 
Client:,Ingrates, i don t care  i want you to do it 
Me:,Ingrates, i m sorry  it s the middle of the day on a sunday  it s father s day  and it s unlikely that i ll even be able to get in touch with everyone   i don t understand why you can t just have the printer make the change to the file on press 
Client:,Ingrates, 
Me:,Ingrates, neither are we 
Me:,Ingrates, 
Client:,Ingrates, we think this will work best if you just dive in  focus  and make it your own  just produce us a win  can you have it ready by  pm 
Editor’s Note:,Ingrates, em  this story was submitted with the client comments in green comic sans  which was impressive to include  but something i don t want to subject our readers to    em 
Client: ,Ingrates,hi pls remove the shadow behind him  need all the photo colored black white need all the photo high realization   big big as u can urgent soon as u can this photo and i need the all of them tomorrow pls
Client: ,Ingrates,oh can u call me on phoned   
http://,Ingrates, all
Client:,Ingrates, i was thinking  could we get gold staples for the program 
Me: ,Ingrates,no  sorry  it s not going to be possible  they can only do silver staples 
Client:,Ingrates, oh  that s alright  what do you think about slipping some wax paper under each staple and coloring them gold 
Me: ,Ingrates,for     programs 
Client: ,Ingrates,yeah 
Me: ,Ingrates,for tomorrow 
Client: ,Ingrates,yeah 
Me: ,Ingrates, a href  http   clientsfromhell net post            its not that we dont want to pay you its just  will i be getting paid  a 
Client: ,Ingrates,no  of course not   that s only  like  a hundred staples  
Me:,Ingrates, dear client  please fill out our online form to setup your project  no matter what  please
 DO NOT attach anything to the form,Ingrates,  our server is acting up right now and attachments are causing issues  we are working to fix this  but can t be certain it will be fixed by day s end 
Client:,Ingrates, hi  i submitted the form yesterday but didn t receive confirmation  did you get it 
Me:,Ingrates, no  did you attach something to the form  that might be the issue 
Client:,Ingrates, yes  i attached our logo  i wish you would have warned me that there was an issue with attachments because now i ve wasted my time and have to do this all over again  and as i stated earlier  and i expect you to actually read my emails   
Client:,Ingrates, 
Me:,Ingrates, unfortunately  as i mentioned  i m unavailable at that time tomorrow   how about  pm   or i ll be available all day thursday 
Client:,Ingrates, no  none of that will do  tomorrow at noon 
Me:,Ingrates, unfortunately  that is outside of my posted office hours  which i sent to you on monday  you could always email me your requests  and i can contact you about them on thursday 
Client:,Ingrates, i don t want to contact you on thursday 
Me:,Ingrates, can i ask why thursday won t work for you 
Client:,Ingrates, because i don t want to have to call you outside of my normal office hours 
Client:,Ingrates, are you there  my contact s really anxious to get their site moving  can you get started on provisioning the server 
Me: ,Ingrates,no  i m not available for at least five more days 
Client:,Ingrates, what  
Me: ,Ingrates,my wife s on vicodin and the baby s teething 
Client:,Ingrates, so by tonight at least 
Client:,Ingrates, hello 
Client:,Ingrates, we re thinking of getting new business cards made up  you can do that kind of thing can t you 
Me: ,Ingrates,yeah sure  i charge for it though 
Client:,Ingrates, ha  nice one 
Me: ,Ingrates,no  seriously  i charge for it  even my friends have to pay 
Client:,Ingrates, why 
Me: ,Ingrates,because it s time consuming  i don t have much free time  so i charge people for eating in to it 
Client:,Ingrates, well  you can do it here while you re at work 
Me: ,Ingrates,i normally charge around      for design work  i get paid a little over    an hour here  
Client:,Ingrates, that s a ridiculous amount of money 
Me: ,Ingrates,i think you ll find it s about half the price of what professionals will charge 
Client:,Ingrates,      for an hours  work  that s insane 
Me: ,Ingrates,i can t design anything in an hour  i can maybe doodle something for you  but i can t design it properly in an hour 
Client:,Ingrates, i was hoping 
Me: ,Ingrates,i ll be having lunch in my lunch break 
Client:,Ingrates, what s so difficult  it s only messing around with paint 
Me: ,Ingrates,do you mean 
Client:,Ingrates, either or 
Client:  ,Ingrates,hey  how are you doing  you know  i seem to have a problem with my pc  i ve tried everything  but it just isn t working  no need for you to come here  i can bring it to you 
Me: ,Ingrates,you know  i m busy at work  and i can t really take a break 
Client:  ,Ingrates,yes  but it won t start  what am i supposed to do 
Me: ,Ingrates,take it to a service 
Client:  ,Ingrates,no way  
Me:,Ingrates, i received your request  unfortunately  the whole team is busy today  we ll respond to your request by  pm  
Client:,Ingrates, no  just make your team work faster  thanks 
Client:,Ingrates, i need to send my logo to a printers  but i don t know what one to send  i m just sending you all my files can you tell me what one to send 
Me: ,Ingrates,you ll want to use a vectorized one  preferably a file format like   
Client:,Ingrates, 
Me: ,Ingrates,you already sent them on skype   
Client: ,Ingrates,let s make time to make sure you get all the files  
Client:,Ingrates, we want you to change the shape of the character s head again 
Me:,Ingrates, i ve already explained to you that additional changes will cost extra  i ve already changed his hair  his clothes  and the facial features on about    characters  if you want me to do any more changes  i ll have to charge 
Client:,Ingrates, well  that isn t really in our budget right now  how about you do it for free  so we can stay under budget 
Me:,Ingrates, i m sorry  but you either need to reel back the changes you want or find more money  
Client:,Ingrates, 
Client:,Ingrates, 
Me:,Ingrates, absolutely could you email me a copy of their logo  and i ll do that in thirty minutes  when i get to my computer 
Client:,Ingrates, when are you planning on getting to your computer 
Me:,Ingrates, it s snowing  and i m about    miles out in rush hour traffic  so it should take me about thirty minutes 
Client:,Ingrates, you can do this on your iphone  
Me:,Ingrates, i m in traffic  and it is snowing 
Client:,Ingrates, don t worry  you can look on their website for more logos 
Client:,Ingrates, i need you to send the ad we re working on to the newspaper right now so they can run it tuesday 
Me:,Ingrates, i didn t think we were finished with the ad  besides  it s a holiday and i m not at the office 
Client:,Ingrates, what s wrong with you  you should take your work home in case i need something 
Me:,Ingrates, i emailed you the latest draft before i left the office last  
Client:,Ingrates, i don t have access to my email right now  
Client:,Ingrates, i need you to be here to start the sale  monitor it  and then close it when it s done 
Me: ,Ingrates,i notified you over a month ago that we would not be available  we re moving  you acknowledged that and agreed to hold off on the sale until our move was complete 
Client: ,Ingrates,i know  but i ve changed my mind  this is the better time for the sale and really  it s completely unprofessional of you to move in the middle of my busy season 
Me: ,Ingrates,i m not sure what to say   it s not like i can change our move date  our house has been sold  the truck has departed  and we have to be at the new house in just a few days 
Client: ,Ingrates,well  
Client:,Frenemies, i am not paying you this much 
Me:,Frenemies, well  for the amount of work involved this is best i can do  you want 
Client: ,Frenemies,toy story themed   paste his face on woody s head  maybe buzz light year to the side  i dunno you can design however you want  toy story fonts  toy story backgrounds  etc 
Me: ,Frenemies, a href  http   clientsfromhell net post             i usually dont do work related favors for family  we need to talk   a 
Client:  ,Frenemies, but i don t want it super themey 
Client:,Frenemies, i am not paying you this much 
Me:,Frenemies, well  for the amount of work involved this is best i can do  you want 
Client: ,Frenemies,toy story themed   paste his face on woody s head  maybe buzz light year to the side  i dunno you can design however you want  toy story fonts  toy story backgrounds  etc 
Me: ,Frenemies, a href  http   clientsfromhell net post             i usually dont do work related favors for family  we need to talk   a 
Client:  ,Frenemies, but i don t want it super themey 
Client:,Frenemies, i want to make a 
Me:,Frenemies, ok  great  what did you have in mind 
Me:,Frenemies, ok  um  yeah  we could do that  i could write a script for  low price because he s a friend  and then i know a few people who could work on the commercial at a discount  we d just need to get a good location and 
Client:,Frenemies, oh  i ve got the location  we can shoot in my backyard 
Me:,Frenemies, oh 
Client:,Frenemies, and i wouldn t be paying anybody   especially at those prices  but i m sure when they hear the project  they d love to jump on board 
Me:,Frenemies, well  all the people i mentioned are professionals and  
Client:,Frenemies, do you know how many people would kill for an opportunity like this  this could make us all a lot of money 
Me:,Frenemies, well  again  they re all professionals and would need to get paid up front for their time on set 
Client:,Frenemies, but they re just friends of yours  and we ll be shooting in my backyard 
Me:,Frenemies, yeah  but these friends of mine are working professionals who make way more than the prices i mentioned  i might be able to convince them to work at that rate since it s my script we d be producing  but i won t be able to push any further than that 
Client:,Frenemies, but i m sure they d love this project and want to jump on board 
Me:,Frenemies, for free 
Client:,Frenemies, exactly 
Me:,Frenemies, you know what  i actually don t think i ll have time 
Client:,Frenemies, oh  that sucks  well  give me your friends  contact info so i can still get them 
Client:,Frenemies, why did you remove my site 
Me:,Frenemies, because you have ignored my past attempts of contacting you for payment for my work 
Client:,Frenemies, oh  well   about that  i didn t think i should pay you for this site 
Me:,Frenemies, why 
Client:,Frenemies, well after about a week  i didn t receive any customers or traffic to the site  i don t think you did your job very well if it can t instantly grab attention of the public and bring them to my site 
Me:,Frenemies, then why do you still want the site 
Client (10:11PM):,Frenemies, i want to talk sometime before      pm tonight  i m really ready for this to get off the ground 
Client (10:44PM): ,Frenemies,i guess we re not talking tonight  i m getting very tired of waiting on this  email me back asap 
Client (11:07PM): ,Frenemies,i m going to find someone else to do this  it s clear that you just can t reply in a timely manner 
Client:,Frenemies,your grandfather s yahoo is broken 
Me:,Frenemies, his yahoo  what  do you mean the email account has a problem  or is the website down 
Client:,Frenemies, yes  his email  you have to fix it  do you have a few minutes 
Me:,Frenemies, i live in toronto  remember  he lives over two hours from here 
Client:,Frenemies, no  i mean over the phone  you tell me  i ll call him and tell him what to do  i think yahoo has a virus 
Me:,Frenemies, you mean you think his email was hacked 
Client:,Frenemies, no  a 
Me:,Frenemies, are you sure he isn t typing his new password in wrong  
Client:,Frenemies, no  that s ridiculous  it must be a virus  can you  like  google a virus 
Me:,Frenemies, uh  yeah  i ll call you back 
Client:,Frenemies, it works  everything is fine  problem solved and your grandfather is relieved 
Me:,Frenemies, good  i m glad the virus is gone 
Client:,Frenemies, don t be silly  it was the password  he wasn t typing it in right  your grandfather s very old  you know 
Client: ,Frenemies,what are these 
Me:,Frenemies, illustrations  like you asked me to do 
Client: ,Frenemies,actually  we were hoping for you to redesign the website  these are nice though 
Me: ,Frenemies,well  i can redesign the website too  but i ll have to charge a separate fee for that 
Client: ,Frenemies, i spoke to some of the other guys in the company  we were hoping that 
Me:,Frenemies, but you said this was paid work 
Client: ,Frenemies,only to get you interested 
Client:,Frenemies, hey  i just downloaded photoshop  how do i save jpegs as  eps in good quality  we need to get our company clothes printed asap and the printer doesn t accept jpeg 
Me:,Frenemies, don t you have your logo in vector format 
Client:,Frenemies, the old one s vectorized  but we only have small jpegs of the new one  also  i made some adjustments  photoshop lets me save as  eps  but it looks kind of bad 
Me:,Frenemies, you can t do that  why not contact the agency that made the logo 
Client:,Frenemies, that was a few months ago  and we 
Me:,Frenemies, hey  did you take me 
Client:,Frenemies, yes 
Me:,Frenemies, why is that 
Me: ,Frenemies,what s going on 
Client:,Frenemies, we hired someone else       not willing to pay what you want 
Me:,Frenemies, well  thanks for the opportunity and i m sorry it didn t work out  i would have preferred you talked to me instead of changing the passwords on work as i complete it  regardless  good luck 
Client:,Frenemies,  drunk via text  i tired to talk to you about it when u were here and said he had talked with you we had a lady already doing it he was shocked on what you wanted to charge thanks 
Client: ,Frenemies,good job  but who told you to do this  
Client:,Frenemies, i appreciate this  i can t do what you do  
Me: ,Frenemies,thanks man  that   
Client:,Frenemies, because 
Client:,Frenemies, i m looking for an online editor that can do a short video in a couple of days  all the offline editing will be done by the director and you ll just do the effects and clean ups  
Me:,Frenemies, do you have exactly what needs to be done  and how many days  exactly  i can give you my answer if i know more of the details 
Client:,Frenemies, it s just basic effects and clean ups  probably five or so days  the payment will be x since we re already almost over budget  i hope that s okay with you 
Me:,Frenemies, can we meet up and discuss the project  
Client:,Frenemies, i ll text you 
Client:,Frenemies, turns out you ll be doing both the offline and online editing  you ll get the footage on saturday  the video was due sunday   pay is still the same  
Me: ,Frenemies,i m sorry  i m not available to do all that work in that amount of time 
Client:,Frenemies, how about you find someone to help you and you split the work and the money 
Me: ,Frenemies,honestly  this won t be 
Client:,Frenemies, don t use a real professional then  use a friend  that s what i would do  
Me: ,Frenemies,yes  i know  
Me: ,Frenemies,hey  what s this for 
Client:  ,Frenemies,a tip for that card  
Client:,Frenemies, 
Me:,Frenemies, o okay  do you have something in mind 
Client:,Frenemies, yes  we want our website just like this  example site   
Me:,Frenemies, it s a relief you have a good idea of what you want if there s a rush to get this made  do you have a rough estimate of how much you want to spend 
Client:,Frenemies, we like to work like a family here 
Me:,Frenemies, that s a great way to work 
Client:,Frenemies, so we don t pay out money as wages are so low  
Me:,Frenemies, how does that work  
Client:,Frenemies, if you are as good as you say you are  you ll be willing to work on a commission basis  if we feel our website s getting enough sales  we are willing to pay you your commission  
Me:,Frenemies, that won t be possible for me  i need money to live 
Client:,Frenemies, this is how we work  take it or leave it  
Me:,Frenemies, since there is nothing to leave  i m going to have to say no 
Client:,Frenemies, it takes a real  professional to work with us  i suspected you wouldn t be up to the task 
who is paid,Frenemies, to undertake a specialized set of tasks and to complete them for a fee 
Client: ,Frenemies,hey   client  tells me you could 
Me:,Frenemies, depends  what s the question 
Client: ,Frenemies,my computer stopped working the other day  the light comes on but nothing happens 
Me:,Frenemies, well  it s hard to say what might be the problem from just that  it could be something simple  it could be that something needs replacing  
Client: ,Frenemies, pfft  that s the best you can come up with  what a waste of my time  
Client:,Frenemies, my sister in law saw the visuals  and 
Me:,Frenemies, what didn t she like about them 
Client:,Frenemies, she said they were shit and not worth the money 
Me:,Frenemies, do you think that 
Client:,Frenemies, i haven t looked at any of them yet 
Client:,Frenemies, you have cost the company money by not delivering the images on time  therefore we re charging you 
Me:,Frenemies, you re charging me for providing you with a free shoot 
Client:,Frenemies, you claimed you could provide a service and we set our time scale to that promise  you ve failed to deliver and you re costing us money  therefore we ve sent you the invoice 
Client:,Frenemies, you just invoiced us  is this a sick joke 
Me:,Frenemies, i ll be happy to make sure you get your remaining photos with in two days and pay you your r     if you pay for my time and images 
Client:,Frenemies, you ll be hearing from our legal advisor soon 
Me:,Frenemies, i look forward to hearing what your legal advisor says about you using my images for commercial gain  displaying them on your website and providing me with no credit while attempting to charge me  all while i was still operating within the conditions of our contract and maintaining a copyright on all the images previously mentioned  
Client:,Frenemies, here is a copy of the brochure  we normally pay the agency about      to redo the brochure every year   but we ve already spent       so i have      to pay you 
Me:,Frenemies, oh  okay  that s well below my usual rates  but it should be okay if you re giving me the original assets for minor alterations 
Client: ,Frenemies,yes  
Client:,Frenemies, 
Me:,Frenemies, sorry  with what  what s wrong 
Client:,Frenemies, i don t know  people don t use the website  i want my money back  people tell me i ve paid too much and i don t use it  
Me:,Frenemies, it s been way too long for a refund  i m sorry you don t use it  but i did everything you paid me to do  
Client:,Frenemies, can we settle on half the money  then 
Client: ,Racists,that s 
Me: ,Racists,i agree  let me see what else i can bring up  
Client: ,Racists,maybe diverse enough 
Client: ,Racists,that s more diverse 
Client: ,Racists,that s the most diverse 
Client: ,Racists,it looks racist to me  those ants are stereotypes of african americans 
Me: ,Racists,oh  i m sorry  i don t really see it but i can change them if you don t  like them  
Client: ,Racists,the best way to get along is if you treat this like   mile  i am eminem and you are all my n    rs 
Client: ,Racists,that s 
Me: ,Racists,i agree  let me see what else i can bring up  
Client: ,Racists,maybe diverse enough 
Client: ,Racists,that s more diverse 
Client: ,Racists,that s the most diverse 
Client: ,Racists,it looks racist to me  those ants are stereotypes of african americans 
Me: ,Racists,oh  i m sorry  i don t really see it but i can change them if you don t  like them  
Client: ,Racists,the best way to get along is if you treat this like   mile  i am eminem and you are all my n    rs 
Client: ,Racists,make all the skin tones in all the photographs the same 
Client: ,Racists,perfect  use that  just make him black and older 
Client:,Racists, i want this bit of the copy in italian 
Me: ,Racists,i   okay  but can i ask why 
Client:,Racists, i like how it looks 
Me: ,Racists,okay  but this is intended for an english speaking audience  right  won t they  
Client:,Racists, listen  it s simple  just put these sections in italian and we re done 
Client:,Racists, what s this 
Me: ,Racists,it s   i put those parts in italian  like you asked 
Client:,Racists, nah  i didn t want any of this spanish crap  i wanted it in italian 
Me: ,Racists,what do you mean by  italian  
Client:,Racists, you know  
Me: ,Racists,you wanted it in italics 
Client:,Racists, i don t know what that is  but slant it up a notch or we ll have a problem  
Client:,Racists, the mix sounds good  but i m not sure about the vocals 
Me:,Racists, what s wrong with them 
Client:,Racists, they re just not black enough 
Client:,Racists, what s kwanza 
Me:,Racists, it s a celebration in december 
Client:,Racists, no  i m pretty sure 
Me:,Racists, what s the issue  have you changed the act 
Client:,Racists, no  we just don t think he looks right on the background 
Me:,Racists, do you have another image from his pr guys  
Client:,Racists, no  but it s a simple fix  we want you to make him less black  
Me:,Racists, er  i can t really do that  he s a world famous singer and i don t think he s going to appreciate us 
Client:,Racists, but our background is black  and he is black  you need to change his face 
Me:,Racists, how about i change the background 
Client:,Racists, that s totally unacceptable  it will ruin our brand integrity 
Client:,Racists, hi  i had a meeting with your sales person about my website project  but i d rather talk about it with the boss of the company 
Me:,Racists, i m sorry but he s unavailable for the afternoon  can you please tell me the name of the person you met  
Client:,Racists, uh  don t remember his name  he was a tall n   er 
Me:,Racists, i see  that would be our boss 
Client:,Racists, oh 
Client:,Racists, i am interested to work with you  but i refuse any upfront payment for something that is a pure service  please modify your proposal accordingly 
Me:,Racists, i m sorry  but this is how i work  
Client:,Racists,  this is how i work   the payment isn t guaranteed  but neither is the quality of work  there is a south african designer with the same rate as yours  who accepts work without any down payment  and his portfolio is bigger than yours  and i m also considering him a candidate  i put you on top of my list because you are french and because you are a woman  never mind  i ll let you work  this way  with others  i went out of my way to put you on top of my list and this is how you treat me  such a human misery 
Client:,Racists, can t we just get find cheap mexican to do it for  like     bucks 
Client:,Racists, this is distracting  nobody likes these 
Client:,Racists, 
Client:,Racists, blackberry phones  do people even use those anymore 
Client:,Racists, attached are a few photos for the brochure  
Client:,Racists, so  
Me:,Racists, yes 
Client:,Racists, wow  what percentage 
Me:,Racists,     
Client:,Racists, wow  so does that mean both of your parents were 
Me:,Racists,  navajo  
Client:,Racists, hmm  i ve never heard of them  is that like cherokee or muckleshoot 
Me:,Racists, navajo  as in the code talkers of world war ii  ever heard of them 
Client:,Racists, no  weird  i m really interested in this because i do native american things too  everyone just thinks i m stoned 
Me: ,Racists,i noticed you have some asian talent in your headshots you sent us  do you know what ethnicity they are 
Client: ,Racists,i think this one is japanese  this one   i think   is cambodian  and this girl may be korean 
Me: ,Racists,do any of them speak their native language 
Client: ,Racists,i think they all 
Client: ,Racists,we want it to have a strong asian theme  gold and dark red gradients  dragons  i s going to be called the dragon lounge  
Me: ,Racists,here is your identity and poster  let me know what your thoughts are and if there s anything else i can do 
Client:,Racists, 
Me:,Racists,errrrr  yes  
Client:,Racists, i think it looks good  but you can take out the picture at the top  we don t help people like that  can you find a picture with just 
Client:,Racists, looks great  just one change  don t use that picture of the model on the site  she looks so asian 
Me:,Racists, well  she 
Client:,Racists, i don t care  
Me:,Racists, i don t think you know what  racist  means 
Client:,Racists, i don t think you know what  asian  means 
Me:,Racists, do you want me to take another session with a different model  i can arrange an 
Client:,Racists, no  no  just throw some photoshop tar on her face and make her black  i don t want to pay for another session with some african    
Me:,Criminals, i m just following up on the installation we made last week at your factory so we can tie things up before your final payment  
Client:,Criminals, we are still reading through the documentation and validating the installation  please call me later next week 
Me:,Criminals, have you finished your evaluation  
Me: ,Criminals,uhhh    no  this was not agreed to and is a breach of contract 
Client:,Criminals, oh no  no  no  no  we still have everything on the factory floor  we were thinking you could come and take it back  we were just showing the new owner what he could do with the space when he moves in  like a work in progress exhibit 
Me:,Criminals, so you sold the desks to the new owner  but you want us to come pick them up so you don t have to pay for them   
Client:,Criminals, yes  you still have time to pick them up  and then the new owner will buy them back from you  he will want them installed at his factory right away 
Me: ,Criminals,   
Client: ,Criminals,this is good business for both of us  
Me: ,Criminals,expect a message from our lawyers  
Client,Criminals,  we re going to start offering three or four new products and i want to get our new sister website and running  i ll need pictures and descriptions for all of them 
Me,Criminals,  got it  i ll start writing   
Client,Criminals,  just go on our competitor s sites and copy paste the stuff that looks good because you know they re going to be doing it to us too  
Me,Criminals,     got it 
Client:,Criminals, i can t print your proof  can you please send me a print ready proof 
Me:,Criminals, our soft proofs are screen resolution for review display only  we do not release press ready printable files for proofing 
Client:,Criminals, but i need to be able to print it and make changes  your file is locked  can i have the password 
Me:,Criminals, we do not release press ready printable files for proofing  and we do not share security information such as passwords used for document protection  i am happy to make any changes you need and proof it back to you  we do offer and recommend hard copy proofing prior to print  the first hard copy proof is free of charge  would you like me to make your changes and email you an updated proof  would you like a hard copy proof for final approval before we print your brochure 
Client:,Criminals, why can t you just give me the password  i am just trying to run my business  i need to be able to print this proof  i need to be able to make changes to your pdf before i print it  you are keeping me from running my business 
Me:,Criminals, i m sorry  we don t release security information of any kind  and we don t provide press ready printable files for proofing purposes  please let me know what changes need to be made and i can get it done for you very quickly 
Client:,Criminals, i don t need changes now  i need to be able to change it in the future  and i need to be able to print it now  every other printer that has designed something for me has given me a printable file  i plan to bring you tons of business and you are hurting my business by not providing me with the password 
Client:,Criminals, this is not acceptable  i cannot print this  it has a mark on it  can you delete the mark and send me a high quality file  i need it right now  no other printer does this to me  
Client: ,Criminals,fine  i m going to get my designers to figure out how to unlock the file and fix the file for print  i m never going to work with you again 
Client:,Criminals, i am looking for someone to photograph my family reunion  i need   hours  can you handle this 
Me:,Criminals, i d be happy to  what date is your family reunion 
Client:,Criminals, my budget is  x   how can i make a deposit 
Me:,Criminals, you ll be happy to know then that at my rates i only charge  y  for event coverage  i can accept cash  cheque  or e transfer  do you have an email address i can send the contract to  or would it be easier to meet in person at a cafe 
Client:,Criminals, i will have you know that due to health reasons i need to do this through credit card in person  can you do this 
Me:,Criminals, unfortunately i cannot take credit card payments at this time  but i can accept cash  cheque  or e transfer  do you have an email address i can send the contract to 
Client:,Criminals, good  i ll set you up with a merchant service then 
Client:,Criminals, this can easily be set up with your bank  i will give you my credit card and even pay the setup fees with your bank due to my health issues 
Me:,Criminals, unfortunately i am unable to setup anything to take credit card payment  but if we can arrange an alternative i d be happy to do the work  
Client: ,Criminals,hmmm  no  i don t like any of these pictures  why don t you just use google 
Me:,Criminals, i did  this was the best i could find 
Client: ,Criminals,let me check 
Client: ,Criminals,oh  hey  see  this one s better 
Me:,Criminals, yeah but that might be copyrighted  if it didn t show up when i used the creative commons filter  that usually means it s copyrighted 
Client: ,Criminals,naw  i can usually tell whether an image is copyrighted or not  i ll check it 
Client: ,Criminals,nope  it s 
Client:,Criminals, so  we are going to do a great concert  at this amazing venue  there are all kinds of artist that are willing to work with us for free  but they are all c listers  we really want a list artists  we also want a full crew of volunteers to do everything from sounds and lighting to stagehands  greeters  bar staff  pa s to the artists  promotions  etc  besides that  we need full media coverage  and of course a great media campaign  we don t really have anything yet  everything needs to be organized and designed  we have about six months to pull this together  since we ve already put in a lot of time in the last event  we decided that you get to do this one 
Me: ,Criminals,you mean you want me to fully organize this massive event 
Me: ,Criminals,good  
Client: ,Criminals,we keep the last say in everything  you don t get to make the final decisions  but other than that  yes 
Me:,Criminals,    okay  that is a lot of work for one person  if i would basically carry the sole responsibility for this and have my name tied to it  i would like to get some insight into the finances of the foundation  i m sure you can understand that 
Me:,Criminals, okay  then at least what is your budget for this 
Me: ,Criminals,   
Client: ,Criminals,you re very serious  you shouldn t be so serious 
Client:,Criminals, i m not going to give you appropriate credits on my project 
Me:,Criminals, why  i literally did everything in it 
Client,Criminals,  if i credited every person for their work  i wouldn t look so cool 
Me:,Criminals, but crediting people means being honest 
Client:,Criminals, now i feel conflicted 
Me: ,Criminals,well that s a surprise  i ll have to think about it  
Client:,Criminals, well i can see if we have another project you can work on  but if not  i will have to terminate our contract 
Client:,Criminals, i m calling to ask if you can reconsider forwarding your services to our business partner  we have something special planned for you there   
Me: ,Criminals,well i m definitely not comfortable with that  
Client: ,Criminals,don t tell anyone  this call and everything said falls under our nda  think about it  ok 
Client:,Criminals, hi  do you 
Me:,Criminals, yes  i m proficient with photoshop  how can i help you  
Client,Criminals,  i wanted to know if you do logo editing  
Me:,Criminals, logo editing  
Client:,Criminals, yes  i have a professionally made logo  and i need it edited 
Me:,Criminals, i see    well  what changes are you looking for  
Client:,Criminals, i need the semi transparent thing over the main picture removed and the blurry edges made better 
Client:,Criminals, i want you to get increase our customer base and get our existing customer to register for charity competitions 
Me:,Criminals, we can construct a content marketing plan to build authority and engage the audience  driving them to your website  we can try marketing to your existing audience to encourage sign ups for your charity competitions and use the charity fundraiser story to tell the story of the brand 
Client: ,Criminals,sounds great 
Me: ,Criminals,oh  i ll need access to your website to redesign it so that there are clear calls to action  sign up forms with ecommerce and design landing pages for various campaigns 
Client:,Criminals, you can t have access to the site until the developer has finished with it  at the end of the month 
Me:,Criminals, ok  why not direct them to add these changes while they are still under contract to complete the site 
Client:,Criminals, will do 
Me:,Criminals, i haven t seen any updates on your site  can i at least have access to your 
Client:,Criminals, you will at the end of this month 
Me:,Criminals, fine  but your first charity competition is now only several weeks away  we don t have much time to generate registrations and the site still has no call to action or e commerce registration forms so we can t grow the database 
Client:,Criminals, the web company owns the website  we will never have access and we can t afford to ask them for updates  there is no client database  we need charity registrations now or the company won t survive 
Me:,Criminals, what  why are you only telling me this now  no database  what have you been doing for the past year  oh  and your third invoice payment is late again  will you be paying this now 
Client:,Criminals, we don t want to work with you anymore and won t be paying you  we expect results immediately 
Me:,Criminals, but you signed a contract stating you understood content marketing results would be at least six months  if you are canceling fine  but there is a    day notice period  i need this in writing 
Me: ,Criminals,i don t understand why you needed the charity event grossing       to keep the company afloat  are you not giving the money to the charity 
Client:,Criminals, we want to sue you for loss of earnings as the charity cost        to run and your content marketing isn t working fast enough 
Me:,Criminals, so you spent        with target earnings of       for yourself and passing it off as a charity event  you think something that will take six months to work should happen immediately and i m to blame 
Client:,Criminals, yes 
Me:,Criminals, i m just following up on the installation we made last week at your factory so we can tie things up before your final payment  
Client:,Criminals, we are still reading through the documentation and validating the installation  please call me later next week 
Me:,Criminals, have you finished your evaluation  
Me: ,Criminals,uhhh    no  this was not agreed to and is a breach of contract 
Client:,Criminals, oh no  no  no  no  we still have everything on the factory floor  we were thinking you could come and take it back  we were just showing the new owner what he could do with the space when he moves in  like a work in progress exhibit 
Me:,Criminals, so you sold the desks to the new owner  but you want us to come pick them up so you don t have to pay for them   
Client:,Criminals, yes  you still have time to pick them up  and then the new owner will buy them back from you  he will want them installed at his factory right away 
Me: ,Criminals,   
Client: ,Criminals,this is good business for both of us  
Me: ,Criminals,expect a message from our lawyers  
Client,Criminals,  we re going to start offering three or four new products and i want to get our new sister website and running  i ll need pictures and descriptions for all of them 
Me,Criminals,  got it  i ll start writing   
Client,Criminals,  just go on our competitor s sites and copy paste the stuff that looks good because you know they re going to be doing it to us too  
Me,Criminals,     got it 
Client:,Criminals, i can t print your proof  can you please send me a print ready proof 
Me:,Criminals, our soft proofs are screen resolution for review display only  we do not release press ready printable files for proofing 
